"","lat","long","ocean_depth"
"1",-89,-179,1
"2",-89,-178,1
"3",-89,-177,1
"4",-89,-176,1
"5",-89,-175,1
"6",-89,-174,1
"7",-89,-173,1
"8",-89,-172,1
"9",-89,-171,1
"10",-89,-170,1
"11",-89,-169,1
"12",-89,-168,1
"13",-89,-167,1
"14",-89,-166,1
"15",-89,-165,1
"16",-89,-164,1
"17",-89,-163,1
"18",-89,-162,1
"19",-89,-161,1
"20",-89,-160,1
"21",-89,-159,1
"22",-89,-158,1
"23",-89,-157,1
"24",-89,-156,1
"25",-89,-155,1
"26",-89,-154,1
"27",-89,-153,1
"28",-89,-152,1
"29",-89,-151,1
"30",-89,-150,1
"31",-89,-149,1
"32",-89,-148,1
"33",-89,-147,1
"34",-89,-146,1
"35",-89,-145,1
"36",-89,-144,1
"37",-89,-143,1
"38",-89,-142,1
"39",-89,-141,1
"40",-89,-140,1
"41",-89,-139,1
"42",-89,-138,1
"43",-89,-137,1
"44",-89,-136,1
"45",-89,-135,1
"46",-89,-134,1
"47",-89,-133,1
"48",-89,-132,1
"49",-89,-131,1
"50",-89,-130,1
"51",-89,-129,1
"52",-89,-128,1
"53",-89,-127,1
"54",-89,-126,1
"55",-89,-125,1
"56",-89,-124,1
"57",-89,-123,1
"58",-89,-122,1
"59",-89,-121,1
"60",-89,-120,1
"61",-89,-119,1
"62",-89,-118,1
"63",-89,-117,1
"64",-89,-116,1
"65",-89,-115,1
"66",-89,-114,1
"67",-89,-113,1
"68",-89,-112,1
"69",-89,-111,1
"70",-89,-110,1
"71",-89,-109,1
"72",-89,-108,1
"73",-89,-107,1
"74",-89,-106,1
"75",-89,-105,1
"76",-89,-104,1
"77",-89,-103,1
"78",-89,-102,1
"79",-89,-101,1
"80",-89,-100,1
"81",-89,-99,1
"82",-89,-98,1
"83",-89,-97,1
"84",-89,-96,1
"85",-89,-95,1
"86",-89,-94,1
"87",-89,-93,1
"88",-89,-92,1
"89",-89,-91,1
"90",-89,-90,1
"91",-89,-89,1
"92",-89,-88,1
"93",-89,-87,1
"94",-89,-86,1
"95",-89,-85,1
"96",-89,-84,1
"97",-89,-83,1
"98",-89,-82,1
"99",-89,-81,1
"100",-89,-80,1
"101",-89,-79,1
"102",-89,-78,1
"103",-89,-77,1
"104",-89,-76,1
"105",-89,-75,1
"106",-89,-74,1
"107",-89,-73,1
"108",-89,-72,1
"109",-89,-71,1
"110",-89,-70,1
"111",-89,-69,1
"112",-89,-68,1
"113",-89,-67,1
"114",-89,-66,1
"115",-89,-65,1
"116",-89,-64,1
"117",-89,-63,1
"118",-89,-62,1
"119",-89,-61,1
"120",-89,-60,1
"121",-89,-59,1
"122",-89,-58,1
"123",-89,-57,1
"124",-89,-56,1
"125",-89,-55,1
"126",-89,-54,1
"127",-89,-53,1
"128",-89,-52,1
"129",-89,-51,1
"130",-89,-50,1
"131",-89,-49,1
"132",-89,-48,1
"133",-89,-47,1
"134",-89,-46,1
"135",-89,-45,1
"136",-89,-44,1
"137",-89,-43,1
"138",-89,-42,1
"139",-89,-41,1
"140",-89,-40,1
"141",-89,-39,1
"142",-89,-38,1
"143",-89,-37,1
"144",-89,-36,1
"145",-89,-35,1
"146",-89,-34,1
"147",-89,-33,1
"148",-89,-32,1
"149",-89,-31,1
"150",-89,-30,1
"151",-89,-29,1
"152",-89,-28,1
"153",-89,-27,1
"154",-89,-26,1
"155",-89,-25,1
"156",-89,-24,1
"157",-89,-23,1
"158",-89,-22,1
"159",-89,-21,1
"160",-89,-20,1
"161",-89,-19,1
"162",-89,-18,1
"163",-89,-17,1
